1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Hỗ trợ làm trắng da, Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Sau khi về nhà,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Mâm xôi, Cherry","Thảo mộc, Nha đam","Hoa hồng, Anh đào, Trà xanh","Mỹ, Hàn Quốc, Việt Nam","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Gia đình; người thân, Bạn bè",,,,"Hàn Quốc, Việt Nam",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên, Tự tìm hiểu",Đào,Thảo mộc,"Lavender, Anh đào, Trà xanh","Hàn Quốc, Pháp, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại",Tư vấn từ bác sĩ,,,,Hàn Quốc,Sàn thương mại điện tử,Nhà thuốc,Không có hiệu quả hoặc hiệu quả kém
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Mỹ,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau,Trước khi ra đường,Website của hãng,Nhân viên tiếp thị,"Cherry, Việt quất","Thảo mộc, Rau má","Trà xanh, Hoa sứ","Nhật Bản, Trung Quốc",Sàn thương mại điện tử,"Tạp hoá, Nhà thuốc",Tác dụng phụ; gây kích ứng; bong tróc da
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Gia đình; người thân, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Pháp, Đức",Sàn thương mại điện tử,Nhà thuốc,Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè","Táo, Việt quất, Chanh","Thảo mộc, Nha đam, Rau má","Hoa hồng, Trà xanh, Hoa cúc","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Cherry, Cam","Dưa leo, Thảo mộc, Nha đam","Lavender, Hoa hồng, Trà xanh","Mỹ, Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi make-up, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên",,,,"Mỹ, Nhật Bản, Pháp",Website của hãng,Nhà thuốc,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",,,,"Mỹ, Hàn Quốc, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Cherry, Việt quất, Cam","Dưa leo, Thảo mộc, Nha đam","Hoa hồng, Anh đào, Trà xanh","Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Đào, Cam, Khác",Khác,"Lavender, Anh đào, Hoa cúc","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi thức dậy,Siêu thị; trung tâm thương mại,Truyền thông; quảng cáo,,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,Siêu thị,Không có hiệu quả hoặc hiệu quả kém
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Cam,Nha đam,Anh đào,"Nhật Bản, Pháp",Website của hãng,"Siêu thị, Nhà thuốc",Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi ra đường, Sau khi về nhà","Các cửa hàng mỹ phẩm, Tạp hóa","Gia đình; người thân, Tự tìm hiểu, Bạn bè",Đào,Nha đam,"Lavender, Hoa hồng, Trà xanh",Nhật Bản,Các trang mạng xã hội,"Tạp hoá, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi thức dậy, Trước khi đi ngủ",Siêu thị; trung tâm thương mại,"Gia đình; người thân, Tự tìm hiểu",,,,Nhật Bản,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Không có hiệu quả hoặc hiệu quả kém
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Mỹ, Úc, Khác","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Nhà thuốc",Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",,,,"Hàn Quốc, Pháp, Anh",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Tư vấn từ bác sĩ, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Chuyên viên, Tự tìm hiểu",,,,"Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử",Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu",Cam,Thảo mộc,Trà xanh,Việt Nam,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Bạn bè",Dâu,Nha đam,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại",Truyền thông; quảng cáo,,,,Anh,"Website của hãng, Sàn thương mại điện tử",Siêu thị,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",,,,"Mỹ, Pháp",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Bạn bè",Chanh,Rau má,Hoa hồng,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên",Cherry,Thảo mộc,Anh đào,"Mỹ, Nhật Bản","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị",Tác dụng phụ; gây kích ứng; bong tróc da
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Táo,"Thảo mộc, Nha đam","Anh đào, Hoa cúc","Nhật Bản, Hàn Quốc, Anh",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
Giúp loại bỏ lớp trang điểm,Trước khi đi ngủ,"Các sàn thương mại điện tử, Hàng xách tay","Tự tìm hiểu, Bạn bè, Đồng nghiệp",,,,Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi đi ngủ,Các sàn thương mại điện tử,Gia đình; người thân,,,,"Mỹ, Canada, Nhật Bản",Sàn thương mại điện tử,Siêu thị,Tác dụng phụ; gây kích ứng; bong tróc da
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Trước khi đi ngủ,Các cửa hàng mỹ phẩm,Gia đình; người thân,,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm",Tự tìm hiểu,,,,"Hàn Quốc, Pháp, Việt Nam","Sàn thương mại điện tử, Các trang mạng xã hội","Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",,,,"Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Tạp hoá, Nhà thuốc, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè","Dâu, Táo","Thảo mộc, Nha đam","Hoa hồng, Anh đào, Trà xanh","Mỹ, Pháp, Anh","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Website của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Bạn bè",Việt quất,"Thảo mộc, Rau má","Trà xanh, Hoa cúc","Canada, Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
